city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Nový Lískovec,6800,1+kk,32,0,B,3,2,False,False,False,False,49.181775,16.561731,Rent,0,0,1,0,0,1,0,0,1,1,0,1,0
Brno,Medlánky,9500,1+kk,28,3,B,3,0,False,False,False,False,49.2391211,16.5723259,Rent,0,0,0,0,0,0,0,0,0,1,1,1,1
Brno,Veveří,15000,2+1,62,1,B,0,2,True,False,True,False,49.201236,16.598723,Rent,0,0,1,1,1,1,1,0,0,1,0,0,0
Brno,Trnitá,10000,1+kk,24,3,A,2,2,False,False,False,False,49.191462,16.616904,Rent,1,0,1,0,0,1,1,0,1,0,0,1,2
Brno,Stránice,13500,2+kk,50,1,,2,0,False,False,False,False,49.2001774,16.5789101,Rent,0,0,0,1,1,0,1,1,1,0,0,0,2
Brno,Královo Pole,10400,1+1,45,1,,3,2,False,False,False,False,49.2271183,16.5905183,Rent,1,1,0,0,1,0,0,0,0,0,0,0,1
Brno,Husovice,13000,2+kk,52,1,C,3,2,True,False,False,False,49.2144262,16.6379903,Rent,1,0,0,1,0,0,0,0,1,1,0,0,2
Brno,Královo Pole,12500,2+1,56,1,B,3,1,False,False,False,False,49.2231615,16.5868266,Rent,0,1,1,1,1,0,0,1,1,1,1,1,2
Brno,Zábrdovice,10400,1+kk,25,1,C,0,3,False,False,True,False,49.19528,16.617736,Rent,1,0,1,1,1,0,1,0,0,0,1,1,2
Brno,Veveří,11200,1+1,20,1,C,3,3,True,True,False,False,49.199631,16.589125,Rent,1,0,0,1,0,0,0,0,1,1,0,1,0
Brno,Černovice,14000,3+1,105,1,,1,2,False,True,False,False,49.187067,16.638855,Rent,0,0,1,1,0,1,1,1,0,1,0,0,2
Brno,Město Brno,11500,2+kk,49,2,D,2,0,False,False,False,False,49.198531,16.61041,Rent,1,0,1,0,1,1,0,1,1,0,1,1,0
Brno,Zábrdovice,13900,2+kk,85,1,,2,7,False,False,True,False,49.2000693,16.6136334,Rent,1,0,0,0,1,0,0,0,0,1,0,0,0
Brno,Židenice,12000,2+kk,44,1,C,1,2,False,True,False,False,49.1983942,16.6511359,Rent,0,1,0,0,1,0,0,1,1,1,0,0,1
Brno,Bohunice,13100,2+1,56,2,,3,1,True,False,False,False,49.1671666,16.5831516,Rent,1,1,1,0,1,1,1,1,1,0,0,0,0
Brno,Řečkovice,12000,2+kk,56,3,C,2,4,False,False,False,False,49.2412231,16.5861749,Rent,1,1,1,0,1,1,1,1,1,0,1,0,0
Brno,Židenice,11000,1+kk,33,0,G,2,1,False,False,False,False,49.204397,16.657421,Rent,0,0,0,0,0,1,0,1,1,0,0,0,2
Brno,Slatina,16400,3+kk,68,1,B,3,5,True,True,True,True,49.178338,16.6805261,Rent,0,0,1,1,1,1,0,1,1,0,1,1,2
Brno,Lesná,11500,2+1,60,2,C,2,6,True,False,True,False,49.225414,16.626481,Rent,0,0,0,0,1,0,0,0,1,0,0,0,0
Brno,Pisárky,18675,1+kk,0,0,,3,4,False,False,True,False,49.1926173,16.5633806,Rent,0,0,0,1,0,0,1,0,1,0,0,0,2
Brno,Město Brno,12500,1+kk,30,1,A,3,3,False,False,False,False,49.198531,16.61041,Rent,1,1,0,1,1,0,1,0,1,0,1,1,0
Brno,Komín,13800,2+1,52,1,B,2,2,False,False,False,False,49.219433,16.542629,Rent,1,0,0,0,0,0,1,1,1,1,1,0,1
Brno,Jundrov,12000,3+1,76,2,C,2,1,True,False,True,False,49.205368,16.55392,Rent,1,1,0,1,0,0,1,0,0,0,1,0,2
Brno,Řečkovice,14000,2+kk,69,1,,2,3,False,False,False,False,49.2434715,16.5800392,Rent,0,0,0,1,0,1,0,1,0,0,1,0,0
Brno,Stránice,20000,3+kk,78,1,G,0,2,True,False,False,False,49.200757,16.58334,Rent,1,1,0,0,0,0,1,0,1,1,0,1,2
Brno,Žebětín,17000,3+kk,66,1,A,0,4,True,False,True,False,49.219061443387,16.49560654736,Rent,0,1,1,1,0,0,1,0,1,1,0,1,1
Brno,Stránice,8500,2+1,66,1,G,3,1,True,False,False,False,49.200498,16.579143,Rent,1,1,1,0,1,1,0,1,1,1,1,0,1
Brno,Černá Pole,12850,2+kk,67,1,C,2,3,True,False,False,False,49.215295,16.626163,Rent,0,1,0,1,0,1,0,1,1,1,0,1,1
Brno,Zábrdovice,15000,3+kk,110,1,C,1,5,False,False,True,False,49.1980928,16.6189889,Rent,0,0,0,1,0,1,1,1,0,0,0,1,1
Brno,Štýřice,18375,2+kk,50,0,,3,1,False,True,False,False,49.183649,16.5956969,Rent,0,1,0,1,0,0,1,0,0,0,1,0,1
Brno,Maloměřice,16000,3+1,90,1,G,2,2,False,True,False,False,49.208764,16.63689,Rent,0,0,1,0,1,1,1,0,1,0,1,1,1
Brno,Staré Brno,9300,1+kk,34,1,,2,3,True,False,False,False,49.1935820443,16.5956640244,Rent,0,0,1,1,0,0,0,1,0,0,0,0,0
Brno,Bohunice,9200,1+kk,24,1,B,2,1,False,True,False,False,49.167555,16.579169,Rent,0,1,0,1,0,0,1,0,1,1,1,0,0
Brno,Trnitá,13000,1+kk,33,2,B,3,2,False,True,True,False,49.184512,16.623095,Rent,1,0,1,0,0,0,0,1,1,1,0,1,0
Brno,Černovice,10000,1+1,56,1,,2,1,True,False,False,False,49.1909353,16.6297317,Rent,1,0,1,1,1,0,1,0,1,1,0,1,2
Brno,Zábrdovice,10500,Garsoniéra,20,0,G,3,4,False,False,False,False,49.198929,16.618198,Rent,0,0,1,0,0,0,0,0,0,1,1,1,1
