id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
328844,2020-11-19 15:42:54.754999 UTC,Praha,Letňany,10500,1+kk,28,1,1,B,2,7,FALSE,TRUE,FALSE,FALSE
619489,2020-11-19 15:41:08.96312 UTC,Praha,Nusle,10000,2+kk,30,1,1,G,3,4,FALSE,FALSE,FALSE,FALSE
634140,2020-11-19 15:38:33.40915 UTC,Praha,Vysočany,14444,2+kk,50,1,0,G,2,5,TRUE,FALSE,TRUE,FALSE
632516,2020-11-19 15:07:53.559296 UTC,Praha,Braník,14000,2+kk,54,1,1,D,2,1,TRUE,FALSE,FALSE,FALSE
471543,2020-11-19 15:15:41.966899 UTC,Plzeň,,11000,2+kk,55,1,1,A,2,4,FALSE,FALSE,FALSE,FALSE
633844,2020-11-19 15:48:30.379245 UTC,Praha,Nusle,12000,2+kk,42,1,1,D,2,1,FALSE,FALSE,FALSE,FALSE
57719,2020-11-19 15:52:05.234429 UTC,Praha,Vršovice,8000,1+kk,27,1,1,C,3,3,TRUE,FALSE,FALSE,FALSE
541139,2020-11-19 15:29:27.980139 UTC,Praha,Veleslavín,17950,3+kk,72,1,1,A,3,2,TRUE,TRUE,TRUE,FALSE
634075,2020-11-19 16:08:49.602023 UTC,Praha,Vokovice,15000,2+1,52,1,2,G,1,4,FALSE,FALSE,TRUE,FALSE
627423,2020-11-19 15:15:57.007283 UTC,Praha,Stodůlky,13500,2+kk,51,2,2,B,1,1,TRUE,FALSE,TRUE,FALSE
634151,2020-11-19 16:05:44.028491 UTC,Praha,Kyje,9500,1+kk,34,1,1,B,2,1,FALSE,FALSE,FALSE,TRUE
503610,2020-11-19 16:00:59.766555 UTC,Praha,Vršovice,16500,2+1,64,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
639149,2020-11-19 15:06:10.32468 UTC,Praha,Břevnov,13000,2+kk,43,2,1,G,2,1,FALSE,FALSE,FALSE,FALSE
632093,2020-11-19 15:31:03.758853 UTC,Brno,Staré Brno,14000,2+kk,54,2,1,G,3,4,TRUE,FALSE,TRUE,FALSE
633759,2020-11-19 15:03:54.161785 UTC,Praha,Chodov,13000,2+1,43,1,2,G,2,3,FALSE,FALSE,TRUE,FALSE
428110,2020-11-19 16:09:40.596198 UTC,Praha,Řeporyje,7000,Garsoniéra,20,1,1,,2,0,FALSE,FALSE,FALSE,FALSE
172411,2020-11-19 15:06:18.018658 UTC,Praha,Nusle,13000,1+1,60,1,1,,3,1,FALSE,FALSE,FALSE,FALSE
