,MČ,Ulice,LAT,LNG,Typ
4317,BRNO-SLATINA,Tilhonova x Vlárská,49.18237634581,16.675190557729,PLA
4318,SLATINA,V Nové čtvrti,49.184177613592,16.676115618731,SBA
4319,SLATINA,V Nové čtvrti,49.184177613592,16.676115618731,SBI
4320,SLATINA,V Nové čtvrti,49.184177613592,16.676115618731,PLA
4321,SLATINA,V Nové čtvrti,49.184177613592,16.676115618731,PAP
4322,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,SBI
4323,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,SBA
4324,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,PLA
4325,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,PLA
4326,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,PAP
4327,BRNO-SLATINA,Vyškovská 4,49.180489147613,16.680545069885,PAP
4328,BRNO-SLATINA,Za kostelem x Kikerlého 15,49.174893775387,16.691673786278997,SBI
4329,BRNO-SLATINA,Za kostelem x Kikerlého 15,49.174893775387,16.691673786278997,SBA
4330,SLATINA,Zemanova - SSO,49.176873510504,16.682383812123998,SBA
4331,SLATINA,Zemanova - SSO,49.176873510504,16.682383812123998,SBI
4332,SLATINA,Zemanova - SSO,49.176873510504,16.682383812123998,PLA
4333,BRNO-SLATINA,Řípská 17,49.180271463169,16.672183721802,SBI
4334,BRNO-SLATINA,Řípská 17,49.180271463169,16.672183721802,SBA
4335,BRNO-SLATINA,Řípská 17,49.180271463169,16.672183721802,PAP
4336,BRNO-SLATINA,Řípská 17,49.180271463169,16.672183721802,PLA
4337,BRNO-SLATINA,Řípská 19,49.180661224853,16.671340691334,PAP
4338,BRNO-SLATINA,Řípská 19,49.180661224853,16.671340691334,PLA
4339,BRNO-SLATINA,Řípská 19b,49.181105705527,16.670459152634002,PAP
4340,BRNO-SLATINA,Řípská 19b,49.181105705527,16.670459152634002,PLA
4341,BRNO-SLATINA,Řípská 21 a 21a,49.181556506423,16.669725777974,PAP
4342,BRNO-SLATINA,Řípská 21 a 21a,49.181556506423,16.669725777974,PLA
4343,BRNO-STARÝ LÍSKOVEC,Bosonožská 15 - u ZŠ,49.165661132237,16.554145636478,SBA
4344,BRNO-STARÝ LÍSKOVEC,Bosonožská 15 - u ZŠ,49.165661132237,16.554145636478,SBI
4345,BRNO-STARÝ LÍSKOVEC,Bosonožská 15 - u ZŠ,49.165661132237,16.554145636478,PLA
4346,BRNO-STARÝ LÍSKOVEC,Bosonožská 15 - u ZŠ,49.165661132237,16.554145636478,PAP
4347,BRNO-STARÝ LÍSKOVEC,Bosonožská 4 - MŠ,49.167075391865,16.553558331875,PLA
