objectid,X,Y,name,place_address
214,16.6175242719649,49.198936602833,Ahoj robote!,"Bratislavská 26/210, 602 00 Brno"
215,16.613695800446,49.1959064001515,Brno Contemporary Orchestra,"Malinovského náměstí 1, Brno-město, Brno, Česko"
216,16.6036449001767,49.2042786002359,Mai Khoi &amp; The Dissidents,Cihlářská 643/19
217,16.6035172801175,49.1868201843655,Milena Fucimanová: Hnízda v octu,"Nové sady 32a, Brno"
218,16.6036449001767,49.2042786002359,Mládenecký byt,Cihlářská 643/19
219,16.613695800446,49.1959064001515,PhilHarmonia Octet Prague,"Malinovského náměstí 1, Brno-město, Brno, Česko"
220,16.6036449001767,49.2042786002359,Psí láska,Cihlářská 643/19
221,16.5136223674774,49.233025633755204,Vokolo priglu,"Brno-Bystrc 16, 635 00 Brno, Česko"
222,16.6068371003697,49.195060199786205,Open House Brno 2020,Brno
223,16.608123000071398,49.1950509997518,Neobyčejné příběhy &#8211; Fotografická výstava,
224,16.6033510998748,49.1971104997107,KOMPONOVANÝ POŘAD POSLUCHAČŮ HF JAMU,"Komenského náměstí, Brno-Brno-střed, Česko"
225,16.6069336593813,49.1955299446235,Tematické prohlídky: Knihkupectví Barvič a Novotný a dívčí škola Vesna,"Česká 2-6, 602 00 Brno-střed, Česko"
226,16.6094269999277,49.192119700187504,DĚTSKÝ SBOR BRNO,"Zelný trh 313/4, Brno-město, Brno, Česko"
227,16.6094269999277,49.192119700187504,Přímý přenos z Metropolitní opery New York,"Zelný trh 313/4, Brno-město, Brno, Česko"
228,16.611048200300697,49.198234900215304,RICHARD STRAUSS &#8211; SALOME,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
229,16.608259599690097,49.201543000172606,Ráj,"Lidická 1863/16, Černá Pole, 602 00 Brno, Česko"
230,16.6006735139653,49.2010288486508,Produktová a reklamní fotografie,"Smetanova 3, Brno, 602 00"
231,16.6094269999277,49.192119700187504,Pavel Haas Quartet,"Zelný trh 313/4, Brno-město, Brno, Česko"
232,16.616065200432697,49.2071644997234,RECITÁL TOMÁŠE KRÁLE A MATANA PORATA,Černopolní 45 613 00 Brno
233,16.5945269892631,49.191896071919096,GLAGOLSKÁ MŠE / VĚČNÉ EVANGELIUM,"Mendlovo nám. 470/2A, Staré Brno, 603 00 Brno-Brno-střed, Česko"
234,16.5888674969719,49.209569954661795,Lucie Bílá se skupinou Petra Maláska,"Veveří 2209/117, 616 00 Brno-Brno-Žabovřesky, Česko"
235,16.611048200300697,49.198234900215304,Krok za oponu k opeře Osud,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
236,16.6094269999277,49.192119700187504,KLAVÍRNÍ RECITÁL JANA BARTOŠE,"Zelný trh 313/4, Brno-město, Brno, Česko"
237,16.5930574999685,49.2274928997419,Chlap na zabití,"Palackého tř. 832, Brno-Brno-Královo Pole, Česko"
238,16.6036449001767,49.2042786002359,Brněnská 16,Cihlářská 643/19
239,16.608123000071398,49.1950509997518,46. MFF Ekofilm,
240,16.6036449001767,49.2042786002359,Mezinárodní festival krátkých filmů BRNO16,Cihlářská 643/19
241,16.6175242719649,49.198936602833,S dobrovolnictvím po celém světě!,"Bratislavská 26/210, 602 00 Brno"
242,16.611048200300697,49.198234900215304,LEOŠ JANÁČEK &#8211; OSUD REPRÍZA,"Rooseveltova 31/7, Brno-město, 602 00 Brno, Česko"
243,16.611048200300697,49.198234900215304,LEOŠ JANÁČEK Osud (repríza) – Live stream Opera Vision,"Rooseveltova 31/7, Brno-město, Brno, Česko"
244,16.609874816385,49.2046542977816,Hazafele,Lužánecká
245,16.609615399999,49.195224000265505,Milena Fucimanová: Hnízda v octu,"Kobližná 4, Brno, Česko"
246,16.6117003996549,49.1938174000606,S.A.M.P.O. – KOMORNÍ OPERA HF JAMU PREMIÉRA,"Orlí 469/17, Brno-město, Brno, Česko"
